Revista;Publisher;DOI;Proprietary Identifier;Print ISSN;Online ISSN;01-2019;02-2019;03-2019;Archivo;Usuario;Recurso
Chemical Engineering Journal;Elsevier; ;CEJ;1385-8947;;23;36;44;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chemical Engineering Science;Elsevier; ;CES;0009-2509;;0;3;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chemical Geology;Elsevier; ;CHEMGE;0009-2541;;0;1;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chemical Geology: Isotope Geoscience section;Elsevier; ;CHEMGE;0168-9622;;1;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chemical Physics;Elsevier; ;CHEMPH;0301-0104;;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chemical Physics Letters;Elsevier; ;CPLETT;0009-2614;;1;3;9;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chemico-Biological Interactions;Elsevier; ;CBI;0009-2797;1872-7786;0;6;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chemistry & Biology;Elsevier; ;CCBIO;1074-5521;;0;5;6;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chemistry and Physics of Lipids;Elsevier; ;CPL;0009-3084;1873-2941;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chemometrics and Intelligent Laboratory Systems;Elsevier; ;CHEMOM;0169-7439;1873-3239;0;0;6;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chemosphere;Elsevier; ;CHEM;0045-6535;1879-1298;7;57;42;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chest;Elsevier; ;CHEST;0012-3692;1931-3543;4;9;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Child Abuse & Neglect;Elsevier; ;CHIABU;0145-2134;1873-7757;0;8;11;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Children and Youth Services Review;Elsevier; ;CYSR;0190-7409;;0;2;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
China Economic Review;Elsevier; ;CHIECO;1043-951X;;5;8;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
China Geology;Elsevier; ;CNGEO;2096-5192;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
China Journal of Accounting Research;Elsevier; ;CJAR;1755-3091;;2;1;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chinese Chemical Letters;Elsevier; ;CCLET;1001-8417;;4;3;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chinese Herbal Medicines;Elsevier; ;CHMED;1674-6384;;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chinese Journal of Aeronautics;Elsevier; ;CJA;1000-9361;;3;4;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chinese Journal of Analytical Chemistry;Elsevier; ;CJAC;1872-2040;;0;3;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chinese Journal of Chemical Engineering;Elsevier; ;CJCHE;1004-9541;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chinese Journal of Natural Medicines;Elsevier; ;CJNM;1875-5364;;0;0;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chinese Journal of Traumatology;Elsevier; ;CJTEE;1008-1275;;0;1;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chinese Nursing Research;Elsevier; ;CNR;2095-7718;;0;1;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Chronic Diseases and Translational Medicine;Elsevier; ;CDTM;2095-882X;;0;4;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
CIRP Annals;Elsevier; ;CIRP;0007-8506;1726-0604;0;3;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Cirugía Cardiovascular;Elsevier; ;CIRCV;1134-0096;;0;8;11;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Cirugía Española;Elsevier; ;CIRUGI;0009-739X;1578-147X;0;0;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Cirugía y Cirujanos;Elsevier; ;CIRCIR;0009-7411;2444-054X;5;33;44;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Cirugía y Cirujanos (English Edition);Elsevier; ;CIRCEN;2444-0507;2444-0507;1;3;12;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Cities;Elsevier; ;JCIT;0264-2751;;2;6;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
City, Culture and Society;Elsevier; ;CCS;1877-9166;1877-9174;1;0;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Climate Risk Management;Elsevier; ;CRM;2212-0963;2212-0963;1;5;8;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Climate Services;Elsevier; ;CLISER;2405-8807;2405-8807;0;0;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinica Chimica Acta;Elsevier; ;CCA;0009-8981;1873-3492;1;13;9;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clínica e Investigación en Arteriosclerosis;Elsevier; ;ARTERI;0214-9168;1578-1879;0;1;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clínica e Investigación en Arteriosclerosis (English Edition);Elsevier; ;ARTERE;2529-9123;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clínica e Investigación en Ginecología y Obstetricia;Elsevier; ;GINE;0210-573X;1578-9349;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clínica y Salud;Elsevier; ;CLYSA;1130-5274;2174-0550;1;8;13;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical and Translational Radiation Oncology;Elsevier; ;CTRO;2405-6308;2405-6308;0;2;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Biochemistry;Elsevier; ;CLB;0009-9120;1873-2933;1;1;7;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Biomechanics;Elsevier; ;JCLB;0268-0033;1879-1271;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Breast Cancer;Elsevier; ;CLBC;1526-8209;1938-0666;0;6;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Colorectal Cancer;Elsevier; ;CLCC;1533-0028;1938-0674;0;5;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Cornerstone;Elsevier; ;;1098-3597;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Epidemiology and Global Health;Elsevier; ;CEGH;2213-3984;;0;1;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Gastroenterology and Hepatology;Elsevier; ;YJCGH;1542-3565;1542-7714;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Immunology;Elsevier; ;YCLIM;1521-6616;1521-7035;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Immunology and Immunopathology;Elsevier; ;YCLIM;0090-1229;;0;3;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Lung Cancer;Elsevier; ;CLLC;1525-7304;1938-0690;0;3;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Lymphoma Myeloma and Leukemia;Elsevier; ;CLML;2152-2650;2152-2669;0;3;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Materials;Elsevier; ;JBMT;0267-6605;;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Microbiology and Infection;Elsevier; ;CMI;1198-743X;1469-0691;7;63;89;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Neurology and Neurosurgery;Elsevier; ;CLINEU;0303-8467;1872-6968;0;4;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Neurophysiology;Elsevier; ;CLINPH;1388-2457;1872-8952;0;1;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Nutrition;Elsevier; ;YCLNU;0261-5614;1532-1983;0;8;23;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Nutrition ESPEN;Elsevier; ;CLNESP;2405-4577;2405-4577;1;0;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Nutrition Experimental;Elsevier; ;YCLNEX;2352-9393;2352-9393;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Oncology;Elsevier; ;YCLON;0936-6555;1433-2981;0;0;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Psychology Review;Elsevier; ;CPR;0272-7358;1873-7811;0;10;6;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Radiology;Elsevier; ;YCRAD;0009-9260;1365-229X;0;1;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Simulation in Nursing;Elsevier; ;ECSN;1876-1399;;1;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinical Therapeutics;Elsevier; ;CLITHE;0149-2918;1879-114X;0;7;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinics and Research in Hepatology and Gastroenterology;Elsevier; ;CLINRE;2210-7401;2210-741X;0;2;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinics in Dermatology;Elsevier; ;CID;0738-081X;1879-1131;0;1;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Clinics in Endocrinology and Metabolism;Elsevier; ;YBEEM;0300-595X;;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Coastal Engineering;Elsevier; ;CENG;0378-3839;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Cognition;Elsevier; ;COGNIT;0010-0277;1873-7838;0;5;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Cognitive Brain Research;Elsevier; ;BRES;0926-6410;;2;0;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Cognitive Development;Elsevier; ;COGDEV;0885-2014;;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Cognitive Psychology;Elsevier; ;YCOGP;0010-0285;;0;1;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Cognitive Science;Elsevier; ;;0364-0213;1551-6709;0;5;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Cognitive Systems Research;Elsevier; ;COGSYS;1389-0417;;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Colloids and Surfaces;Elsevier; ;COLSUA;0166-6622;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Colloids and Surfaces A: Physicochemical and Engineering Aspects;Elsevier; ;COLSUA;0927-7757;1873-4359;0;2;9;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Colloids and Surfaces B: Biointerfaces;Elsevier; ;COLSUB;0927-7765;1873-4367;0;0;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Colombian Journal of Anesthesiology;Elsevier; ;RCAE;2256-2087;;0;11;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Combustion and Flame;Elsevier; ;CNF;0010-2180;1556-2921;0;1;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Communications in Nonlinear Science and Numerical Simulation;Elsevier; ;CNSNS;1007-5704;;0;0;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Comparative Biochemistry and Physiology;Elsevier; ;CBA;0010-406X;;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology;Elsevier; ;CBA;1095-6433;1531-4332;0;2;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Comparative Biochemistry and Physiology Part A: Physiology;Elsevier; ;CBA;0300-9629;0300-9629;0;2;8;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology;Elsevier; ;CBB;1096-4959;1879-1107;1;2;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Comparative Biochemistry and Physiology Part B: Comparative Biochemistry;Elsevier; ;CBB;0305-0491;0305-0491;0;2;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Comparative Biochemistry and Physiology Part C: Comparative Pharmacology;Elsevier; ;CBC;0306-4492;;0;1;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Comparative Biochemistry and Physiology Part C: Pharmacology, Toxicology and Endocrinology;Elsevier; ;CBC;0742-8413;;0;2;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Comparative Biochemistry and Physiology Part C: Toxicology & Pharmacology;Elsevier; ;CBC;1532-0456;1878-1659;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Comparative Biochemistry and Physiology Part D: Genomics and Proteomics;Elsevier; ;CBD;1744-117X;1878-0407;0;2;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Comparative Immunology, Microbiology and Infectious Diseases;Elsevier; ;CIMID;0147-9571;1878-1667;0;7;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Complementary Therapies in Clinical Practice;Elsevier; ;CTCP;1744-3881;;0;30;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Complementary Therapies in Medicine;Elsevier; ;YCTIM;0965-2299;1873-6963;2;10;6;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Composite Structures;Elsevier; ;COST;0263-8223;;0;1;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Composites;Elsevier; ;JCOMA;0010-4361;;0;1;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Composites Engineering;Elsevier; ;JCOMB;0961-9526;;0;0;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Composites Part A: Applied Science and Manufacturing;Elsevier; ;JCOMA;1359-835X;;1;0;6;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Composites Part B: Engineering;Elsevier; ;JCOMB;1359-8368;;1;7;7;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Composites Science and Technology;Elsevier; ;CSTE;0266-3538;;1;4;7;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Comprehensive Psychiatry;Elsevier; ;YCOMP;0010-440X;1532-8384;0;5;13;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Comptes Rendus Biologies;Elsevier; ;CRASS3;1631-0691;1768-3238;0;2;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Comptes Rendus Chimie;Elsevier; ;CRAS2C;1631-0748;;0;3;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Comptes Rendus Geoscience;Elsevier; ;CRAS2A;1631-0713;;0;0;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Comptes Rendus Mathematique;Elsevier; ;CRASS1;1631-073X;;0;2;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Comptes Rendus Physique;Elsevier; ;COMREN;1631-0705;;0;3;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computational and Structural Biotechnology Journal;Elsevier; ;CSBJ;2001-0370;2001-0370;2;3;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computational and Theoretical Chemistry;Elsevier; ;COMPTC;2210-271X;;0;6;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computational Biology and Chemistry;Elsevier; ;CBAC;1476-9271;;0;7;12;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computational Materials Science;Elsevier; ;COMMAT;0927-0256;;0;2;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computational Statistics & Data Analysis;Elsevier; ;COMSTA;0167-9473;;0;1;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computational Toxicology;Elsevier; ;COMTOX;2468-1113;2468-1113;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computer Aided Geometric Design;Elsevier; ;COMAID;0167-8396;;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computer Communications;Elsevier; ;COMCOM;0140-3664;1873-703X;1;4;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computer Graphics and Image Processing;Elsevier; ;YGMOD;0146-664X;;1;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computer Law & Security Review;Elsevier; ;CLSR;0267-3649;;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computer Methods and Programs in Biomedicine;Elsevier; ;COMM;0169-2607;1872-7565;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computer Methods in Applied Mechanics and Engineering;Elsevier; ;CMA;0045-7825;;1;8;6;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computer Networks;Elsevier; ;COMPNW;1389-1286;;0;7;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computer Networks and ISDN Systems;Elsevier; ;COMPNW;0169-7552;;1;0;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computer Physics Communications;Elsevier; ;COMPHY;0010-4655;;0;1;14;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computer Physics Reports;Elsevier; ;PLREP;0167-7977;;1;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computer Science Review;Elsevier; ;COSREV;1574-0137;;2;3;12;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computer Speech & Language;Elsevier; ;YCSLA;0885-2308;1095-8363;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computer Standards & Interfaces;Elsevier; ;CSI;0920-5489;;5;0;8;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computer Vision, Graphics, and Image Processing;Elsevier; ;YGMOD;0734-189X;;0;4;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computers & Chemical Engineering;Elsevier; ;CACE;0098-1354;;1;3;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computers & Education;Elsevier; ;CAE;0360-1315;;7;41;89;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computers & Electrical Engineering;Elsevier; ;CAEE;0045-7906;;0;1;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computers & Fluids;Elsevier; ;CAF;0045-7930;;0;3;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computers & Geosciences;Elsevier; ;CAGEO;0098-3004;;0;7;13;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computers & Industrial Engineering;Elsevier; ;CAIE;0360-8352;;0;2;30;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computers & Mathematics with Applications;Elsevier; ;CAMWA;0898-1221;;1;7;7;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computers & Operations Research;Elsevier; ;CAOR;0305-0548;;9;13;27;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computers & Security;Elsevier; ;COSE;0167-4048;;4;3;8;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computers & Structures;Elsevier; ;CAS;0045-7949;;0;2;8;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computers and Biomedical Research;Elsevier; ;YJBIN;0010-4809;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computers and Electronics in Agriculture;Elsevier; ;COMPAG;0168-1699;;18;5;8;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computers and Geotechnics;Elsevier; ;COGE;0266-352X;1873-7633;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computers in Biology and Medicine;Elsevier; ;CBM;0010-4825;1879-0534;0;0;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computers in Human Behavior;Elsevier; ;CHB;0747-5632;;19;14;43;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computers in Industry;Elsevier; ;COMIND;0166-3615;;2;4;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Computers, Environment and Urban Systems;Elsevier; ;CEUS;0198-9715;;0;4;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Consciousness and Cognition;Elsevier; ;YCCOG;1053-8100;1090-2376;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Conservation & Recycling;Elsevier; ;RECYCL;0361-3658;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Construction and Building Materials;Elsevier; ;JCBM;0950-0618;;3;11;20;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Contaduría y Administración;Elsevier; ;CYA;0186-1042;;55;241;246;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Contemporary Clinical Trials;Elsevier; ;CONCLI;1551-7144;1559-2030;1;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Contemporary Clinical Trials Communications;Elsevier; ;CONCTC;2451-8654;;0;9;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Contemporary Educational Psychology;Elsevier; ;YCEPS;0361-476X;1090-2384;0;3;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Continental Shelf Research;Elsevier; ;CSR;0278-4343;1873-6955;0;0;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Contraception;Elsevier; ;CON;0010-7824;1879-0518;0;2;7;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Control Engineering Practice;Elsevier; ;CONPRA;0967-0661;;0;2;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Controlled Clinical Trials;Elsevier; ;CONCLI;0197-2456;;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Coordination Chemistry Reviews;Elsevier; ;CCR;0010-8545;;1;0;8;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Cor et Vasa;Elsevier; ;CRVASA;0010-8650;1803-7712;0;5;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Corrosion Science;Elsevier; ;CS;0010-938X;;16;2;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Cortex;Elsevier; ;CORTEX;0010-9452;1973-8102;0;2;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Cretaceous Research;Elsevier; ;YCRES;0195-6671;1095-998X;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Critical Perspectives on Accounting;Elsevier; ;YCPAC;1045-2354;1095-9955;0;3;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Critical Reviews in Oncology/Hematology;Elsevier; ;ONCH;1040-8428;1879-0461;0;14;10;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Crop Protection;Elsevier; ;JCRP;0261-2194;;0;9;11;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Cryobiology;Elsevier; ;YCRYO;0011-2240;1090-2392;0;0;18;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Cryogenics;Elsevier; ;JCRY;0011-2275;;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
